time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0.08,0.0,0.0,10.000020493421392,0.0,0.0,0.0,0.0,0.0,0.0005123263387267864,0.0,0.0,0.0,404.061742639903,404.061742639903,404.061742639903,404.061742639903,3.999961574605628
0.16,0.0,0.0,10.000082118194216,0.0,0.0,0.0,0.0,0.0,0.0010282833967379856,0.0,0.0,0.0,404.06269213103303,404.06269213103303,404.06269213103303,404.06269213103303,3.9997768633094726
0.23999999999999996,0.0,0.0,10.000184358902503,0.0,0.0,0.0,0.0,0.0,0.0015277247211592784,0.0,0.0,0.0,404.0584591029943,404.0584591029943,404.0584591029943,404.0584591029943,3.999428411486136
0.32,0.0,0.0,10.000328745003683,0.0,0.0,0.0,0.0,0.0,0.0020819168154932234,0.0,0.0,0.0,404.0725609688428,404.0725609688428,404.0725609688428,404.0725609688428,3.998915453940141
0.4000000000000001,0.0,0.0,10.000512006238129,0.0,0.0,0.0,0.0,0.0,0.0024996055043858293,0.0,0.0,0.0,404.0374599374929,404.0374599374929,404.0374599374929,404.0374599374929,3.998237309116801
0.48000000000000015,0.0,0.0,10.000722631029424,0.0,0.0,0.0,0.0,0.0,0.002766008713286352,0.0,0.0,0.0,403.9985480181635,403.9985480181635,403.9985480181635,403.9985480181635,3.997432073149641
0.5600000000000002,0.0,0.0,10.000951778244703,0.0,0.0,0.0,0.0,0.0,0.002962667503267893,0.0,0.0,0.0,403.9806105539087,403.9806105539087,403.9806105539087,403.9806105539087,3.9965415243139493
0.6400000000000002,0.0,0.0,10.001208546657821,0.0,0.0,0.0,0.0,0.0,0.0034565321765634457,0.0,0.0,0.0,404.05708926804164,404.05708926804164,404.05708926804164,404.05708926804164,3.995563312605819
0.7200000000000003,0.0,0.0,10.001502583602514,0.0,0.0,0.0,0.0,0.0,0.0038943817477474015,0.0,0.0,0.0,404.042695302563,404.042695302563,404.042695302563,404.042695302563,3.9944416672467256
0.8000000000000004,0.0,0.0,10.00182701501518,0.0,0.0,0.0,0.0,0.0,0.0042163962854284255,0.0,0.0,0.0,404.01290738741324,404.01290738741324,404.01290738741324,404.01290738741324,3.993186637421969
0.8800000000000004,0.0,0.0,10.002180163985205,0.0,0.0,0.0,0.0,0.0,0.004612318840457133,0.0,0.0,0.0,404.0319361062412,404.0319361062412,404.0319361062412,404.0319361062412,3.991818965578471
0.9600000000000005,0.0,0.0,10.002562892753376,0.0,0.0,0.0,0.0,0.0,0.0049558922878758195,0.0,0.0,0.0,404.01848187704843,404.01848187704843,404.01848187704843,404.01848187704843,3.990331111475223
1.0400000000000005,0.0,0.0,10.002974153208537,0.0,0.0,0.0,0.0,0.0,0.005325610240942465,0.0,0.0,0.0,404.0252223308003,404.0252223308003,404.0252223308003,404.0252223308003,3.9887295207977527
1.1200000000000006,0.0,0.0,10.003419086772574,0.0,0.0,0.0,0.0,0.0,0.005797717322792353,0.0,0.0,0.0,404.05158093493935,404.05158093493935,404.05158093493935,404.05158093493935,3.987002855933346
1.2000000000000006,0.0,0.0,10.00390459536818,0.0,0.0,0.0,0.0,0.0,0.006339983984939307,0.0,0.0,0.0,404.06965068275406,404.06965068275406,404.06965068275406,404.06965068275406,3.9851234380879603
1.2800000000000007,0.0,0.0,10.004428370905874,0.0,0.0,0.0,0.0,0.0,0.00675439382788463,0.0,0.0,0.0,404.0367779190193,404.0367779190193,404.0367779190193,404.0367779190193,3.9830825399295353
1.3600000000000008,0.0,0.0,10.00497530141631,0.0,0.0,0.0,0.0,0.0,0.006918864650379425,0.0,0.0,0.0,403.97248267101526,403.97248267101526,403.97248267101526,403.97248267101526,3.980923301871039
1.4400000000000008,0.0,0.0,10.005534083752258,0.0,0.0,0.0,0.0,0.0,0.007050690291273927,0.0,0.0,0.0,403.96408891589414,403.96408891589414,403.96408891589414,403.96408891589414,3.9787051341359554
1.520000000000001,0.0,0.0,10.00612303535088,0.0,0.0,0.0,0.0,0.0,0.007673083108707905,0.0,0.0,0.0,404.090317733615,404.090317733615,404.090317733615,404.090317733615,3.9764068458157915
1.600000000000001,0.0,0.0,10.006757116186325,0.0,0.0,0.0,0.0,0.0,0.008178923956935404,0.0,0.0,0.0,404.06036004018455,404.06036004018455,404.06036004018455,404.06036004018455,3.973935302529691
1.680000000000001,0.0,0.0,10.00742973713519,0.0,0.0,0.0,0.0,0.0,0.008636586988033431,0.0,0.0,0.0,404.0479876662714,404.0479876662714,404.0479876662714,404.0479876662714,3.9713014244588223
1.7600000000000011,0.0,0.0,10.008141000669495,0.0,0.0,0.0,0.0,0.0,0.009144986880070838,0.0,0.0,0.0,404.0610627074472,404.0610627074472,404.0610627074472,404.0610627074472,3.9685156026214035
1.8400000000000012,0.0,0.0,10.008898002870296,0.0,0.0,0.0,0.0,0.0,0.009780049608329153,0.0,0.0,0.0,404.09367338530376,404.09367338530376,404.09367338530376,404.09367338530376,3.9655593683892025
1.9200000000000013,0.0,0.0,10.00970904909388,0.0,0.0,0.0,0.0,0.0,0.01049608450397232,0.0,0.0,0.0,404.11453468325664,404.11453468325664,404.11453468325664,404.11453468325664,3.962398273833493
2.0000000000000013,0.0,0.0,10.010574934802328,0.0,0.0,0.0,0.0,0.0,0.011151038007894536,0.0,0.0,0.0,404.0988572126747,404.0988572126747,404.0988572126747,404.0988572126747,3.9590154631919994
