time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0.02,0.0,0.0,10.0004392507,1.31801019254e-06,1.08136994701e-05,0.0,0.0,0.0,0.0439250692493,-0.00162358257729,-0.00465052673785,0.0,448.07601688468895,446.9405845888607,446.4169260229352,446.01938006633213,-1.46416897498e-06
0.04,-2.30011986546e-08,2.80346373122e-09,10.0014827946,6.28317120917,6.28310806034,0.0,-2.30011986546e-06,2.80346373122e-07,0.0604293220006,-0.0074640669079,-0.00779695081734,0.0,420.5705904415495,419.75246820783366,421.753556385405,420.23782324267626,-4.9426486833e-06
0.06,1.14955219478e-07,-2.5163197328e-08,10.0031108223,6.28303539863,6.28298560416,0.0,1.60957616787e-05,-3.07701247905e-06,0.102373442884,-0.00227353774242,-0.0159802065513,0.0,446.51971037744977,444.51293193785955,443.8874701187078,445.1633666537073,-1.03694075128e-05
0.08,9.53705887325e-07,-4.74669792094e-07,10.0057843111,6.28299612155,6.28268205386,0.0,6.7779305106e-05,-4.18736469975e-05,0.164975445989,0.00124602923968,-0.0216465697707,0.0,465.25284026711364,463.9203426304314,462.85519203969847,463.6853155699664,-1.92810371419e-05
0.1,3.36203205321e-06,-1.70789427785e-06,10.009213689,6.28303589195,6.28224912247,0.0,0.000173053311482,-8.14488015784e-05,0.177962334825,0.00669576733837,-0.02164341297,0.0,417.54187580184697,417.54266039744596,415.9733364702276,417.4023019866064,-3.07122965024e-05
0.12000000000000001,9.0867761137e-06,-3.69815355234e-06,10.013228917,4.19384625872e-05,6.28182278891,0.0,0.000399421094567,-0.00011757712587,0.223560467834,0.0174138214272,-0.018028250203,0.0,448.2389861855613,449.11933638644047,446.9161973115852,449.52877762362925,-4.40963899244e-05
0.14,2.01087840244e-05,-5.95632208644e-06,10.0179645803,0.000398096470703,6.28147663525,0.0,0.000702779696503,-0.000108239727541,0.250005863166,0.0134435369106,-0.0233969254109,0.0,430.9305255008323,429.5672069020964,430.9462566007635,429.9383954966009,-5.9881934291e-05
0.16,3.96701799627e-05,-6.83834379005e-06,10.0242249642,0.0007412902825,6.28103202745,0.0,0.00125335989733,2.00375571797e-05,0.376032526363,0.0012514842874,-0.0165660089127,0.0,516.7372483325804,518.1796262624279,519.2413400659062,516.669315526406,-8.07498806087e-05
0.18,6.95260255038e-05,-4.78905062344e-06,10.0320074966,0.000767201205334,6.28071490751,0.0,0.00173222465677,0.000184891759482,0.402220713747,0.00257906636508,-0.021895218302,0.0,430.5723229068729,429.2179219063948,430.3128859601442,430.6498184808623,-0.000106691655279
0.19999999999999998,0.000110967909172,1.01976153087e-06,10.0408414402,0.000825159515691,6.28035352816,0.0,0.00241196371004,0.000395989455949,0.481173646867,-0.000992203172647,-0.00952387881856,0.0,476.5784165566884,479.4063556580227,479.40726842113264,478.5925894736544,-0.000136138133966
0.21999999999999997,0.000167000090377,1.12103413791e-05,10.051254854,0.000805565393095,6.28016305104,0.0,0.0031912544105,0.000623068528877,0.560167736096,-0.000285180037909,-0.0094936631949,0.0,478.0636400994363,478.0706758025271,479.0418128829192,479.20307030206084,-0.000170849513398
0.23999999999999996,0.000236976195394,2.53112283194e-05,10.0625314453,0.0008026645343,6.28000703069,0.0,0.0038063560912,0.000787020165148,0.567491392286,-0.00265277035863,-0.0177220187636,0.0,412.71566422379396,410.53159032902903,412.1426750883917,411.51452570388597,-0.000208438151011
0.25999999999999995,0.000320077303018,4.28128895135e-05,10.0741135373,0.000750245251435,6.27966816243,0.0,0.00450375467111,0.000963145954264,0.590717806762,-0.00152483037103,-0.0233027199641,0.0,428.2995092927724,426.873492092858,427.257086068335,427.54549476637544,-0.000247045124313
0.27999999999999997,0.00041818719821,6.37897164674e-05,10.0862503581,0.000804804401911,6.27929929969,0.0,0.00530723484813,0.00113453674112,0.622964272955,-0.0145675109158,-0.00936057812142,0.0,434.9525108258213,438.44085435350985,437.3428278533579,434.07209672124634,-0.000287501193636
0.3,0.000533912760181,8.84646744014e-05,10.0992131177,0.000515880780086,6.27911228564,0.0,0.00626532134898,0.00133295905228,0.673311692926,-0.0123645145515,-0.008732077277,0.0,453.02307805570337,453.1747644102164,452.97239165708817,453.5035899227538,-0.000330710392499
0.32,0.000668255796552,0.000116268410682,10.1129360028,0.000270978069198,6.27893776955,0.0,0.00716898228812,0.00144741457583,0.698976812389,-0.0145497285649,-0.0092329960102,0.0,430.2785615171042,430.15145717680224,430.0377984459351,429.4823320800937,-0.000376453342676
0.34,0.000821090867857,0.000145819919638,10.1271796401,3.9693594136e-05,6.27879166291,0.0,0.00811452484238,0.00150773631973,0.725386912748,-0.00362177393134,-0.000451961452446,0.0,429.67161373263093,431.8989654545534,429.30800730964467,432.08047359782245,-0.000423932133514
0.36000000000000004,0.000992143700882,0.000176053798421,10.1417197112,6.28316819414,6.27881853006,0.0,0.00899075846016,0.00151565155855,0.728620198784,0.00196908291694,-0.00892620159917,0.0,408.8779784998715,406.60709159424727,407.0912989461087,408.58922705786796,-0.000472399037232
0.38000000000000006,0.00118247090357,0.000206325622937,10.1567374097,0.000170847526039,6.27864779057,0.0,0.0100419618086,0.00151153089306,0.773149650949,0.0192073491894,-0.00498043397358,0.0,447.1137121518373,448.07705655116075,446.16085980856104,450.36268854288994,-0.000522458032223
